city,station_name,gasoil10_price,station_location
Casablanca,STATION JAWHARA,‎ 13.63 DH,QUARTIER DERB OMAR RESIDENCE JAWHARA
Casablanca,MY DRISS,‎ 13.97 DH,ANGLE BOULEVARD 2 MARS ET MY DRISS 1ER
Casablanca,HERMITAGE,‎ 13.67 DH,BOULEVARD PANORAMIQUE ET BOULEVARD NADOR L'HERMITAGE CASABLANCA
Casablanca,RIAD,‎ 13.97 DH,"AVENUE 2 MARS, CASABLANCA"
Casablanca,PETROFAM S/S PANORAMIQUE,‎ 13.96 DH,ANGLE BD PANORAMIQUE  & BD OULED HADDOU ARRONDISSEMENT AIN CHOCK CASABLANCA
Casablanca,STATION ZIZ 2 MARS,‎ 13.89 DH,"STATION ZIZ, AVENUE 2 MARS CASABLANCA"
Casablanca,SIDI HAJAJ,‎ 14.55 DH,RP 3024 DOUAR OULED BOUAZIZ COMMUNE RURALE SIDI HAJJAJ OUED HASSAR   PROVINCE MEDIOUNA
Casablanca,LYCEE SS,‎ 14.61 DH,ANGLE AV 2 MARS ET TARIK IBNOU ZIAD
Casablanca,WINXO VESALE,‎ 13.93 DH,RUE VESALE ET 2 MARS
Casablanca,PETROFAN S/S ZOUBEIR,‎ 13.96 DH,BOULEVARD MODI BOKITA
Casablanca,EL MANZAH SS,‎ 14.87 DH,"PK 8,35  COMMUNE RURAL EL MAJJATIA"
Casablanca,AIN HARROUDA,‎ 13.97 DH,"ROUTE DE CASA   -, MOHAMMEDIA"
Casablanca,WINXO HASSAN II CASA,‎ 13.93 DH,RP HASSANE 2 CASA
Casablanca,WIDAD,‎ 13.97 DH,"ANGLE BD ABDELMOUMEN, CASABLANCA"
Casablanca,PETROFAN S/S BACHKOU,‎ 13.96 DH,BD EL HACHIMI FILALI-QUARTIER LES CRÊTES POLO-CASABLANCA 
Casablanca,ABDELMOUMEN,‎ 13.97 DH,"212, BOULEVARD ABDELMOUMEN"
Casablanca,TADDERT,‎ 13.97 DH,"BD TADDERT, CASABLANCA"
Casablanca,ABDELMOUMEN I,‎ 13.62 DH,355 BOULEVARD ABDELMOUMEN CASABLANCA
Casablanca,PETROFAN S/S CALIFORNIE,‎ 13.96 DH,ANGLE BOULEVARD PANORAMIQUE & ROUTE TADDART AIN CHOCK
Casablanca,ABDELMOUMEN II,‎ 13.62 DH,ANGLE RUE LAMENAI ET BOULEVARD ABDELMOUMEN CASABLANCA
Casablanca,ISTIRAHA CHAOUIA,‎ 13.89 DH,ANGLE BD ROUDANI ET ZERKTOUNI
Casablanca,PALMIERS,‎ 13.99 DH,QUARTIER PALMIER - ANGLE RUE 9 AVRIL ET RUE MOHAMED BAHI
Casablanca,EL GHOUROUB,‎ 13.98 DH,"61, BOULEVARD BORDEAUX"
Casablanca,STATION ZIZ GAMA GHANDI,‎ 13.89 DH,AVENUE EL MASSIRA
Casablanca,PETROFAN S/S SIDI MESSAOUD,‎ 13.89 DH,"STATION ZIZ, BD GHANDI CASABLANCA"
Casablanca,"MLY YOUSSEF , ZIRAOUI  CASA",‎ 13.96 DH,COMMUNE BOUSKOURA-PROVINCE NOUACEUR
Casablanca,PETROFAN S/S GHANDI,‎ 13.96 DH,ANGLE MLY YOUSSEF ET ZIRAOUI CASA
Casablanca,PISCINE,‎ 13.97 DH,BOULEVARD GHANDI- CASABLANCA
Casablanca,STATION PETROM OASIS,‎ 13.7 DH,ROND POINT LECLERC
Casablanca,WINXO BORDEAUX,‎ 13.89 DH,BD BORDEAUX
Casablanca,H&K S/S TADDART,‎ 13.96 DH,BOULEVARD HACHIMI FILALI PISTE TADDART CALIFORNIE CASABLANCA
