city,station_name,supercarburant sans plomb,station_location
Casablanca,MEDMA GESTION S/S FLORIDA,‎ 14.83 DH,LOT FLORIDA-SIDI MAAROUF-CASABLANCA
Casablanca,SIDI MESSAOUD,‎ 10.91 DH,RS 109 PK 10+000 SIDI MESSAOUD CASABLANCA
Casablanca,WINXO GHANDI,‎ 14.79 DH,ANG. BD GHANDI ET IBN SINA
Casablanca,WINXO HIPPODROME,‎ 14.8 DH,"1, RUE IFRAN - C I L, CASABLANCA"
Casablanca,ISTIRAHA BOUSKOURA 1,‎ 14.8 DH,ANGLE AV. MY RACHID ET D'HIERS
Casablanca,STATION CPHM HAMRIA,‎ 14.72 DH,ROUTE NATIONALE 11
Casablanca,SIDI MESSOUD BOUSKOURA,‎ 14.1 DH,ROUTE DE MARRAKECH CASABLANCA
Casablanca,EXIT CASABLANCA,‎ 14.8 DH,"SORTIE VERS NOUACER, CASABLANCA"
Casablanca,BOUSKOURA 1,‎ 14.29 DH,"SORTIE DE CASABLANCA, ROUTE DE MARRAKECH"
Casablanca,AL MENZAH ,‎ 14.8 DH,"BD ROOSVELT/RAMPE D'ANFA, CASABLANCA"
Casablanca,S/S LHBIB OUED HASSAR,‎ 14.83 DH,COMMUNE RURALE SIDI HAJJAJ OUED HASSAR
Casablanca,ZENATA,‎ 14.29 DH, ENTRÉE VERS MOHAMMEDIA ZENATA
Casablanca,HASSANIA,‎ 14.87 DH,BOULEVARD OUM RABII EL OULFA
Casablanca,ALLAYMOUN,‎ 14.8 DH,"BD DE LA GRANDE CEINTURE, CASABLANCA"
Casablanca,SIDI MAAROUF,‎ 14.29 DH,LOTISSEMENT MEHDI ROUTE EL JADIDA LISSASFA
Casablanca,MEDIOUNA,‎ 14.8 DH,"ROUTE NATIONALE N°9, CARREFOUR MEDIOUNA / CASABLANCA / TIT MELLIL"
Casablanca, ZARHANE,‎ 14.44 DH,"COMMUNE RURALE SIDI MOUSSA BEN ALI, PROVINCE MOHAMMEDIA"
Casablanca,ROUTE AZEMOUR,‎ 14.29 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI
Casablanca,JADI,‎ 14.8 DH,KM 6 ROUTE ELGARA
Casablanca,S/S  REST SPACE,‎ 14.81 DH,COMMUNE CHALLALATE-MOHAMMEDIA
Casablanca,NASSIM,‎ 14.8 DH,QUARTIER INDUSTRIEL LISSASFA VERS AUTOUROUTE D'ELJADIDA
Casablanca,HAY HASSANI ,‎ 14.29 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI CASABLANCA
Casablanca,MAHATAT ANNOR,‎ 14.81 DH,RT N°1 COMMUNE CHALLALATE-MOHAMMEDIA
Casablanca,S/S LA NOUVELLE VILLE DE ZENATA,‎ 14.81 DH,"COMMUNE AIN HARROUDA,LOTISSEMENT ZS2 - MOHAMMEDIA"
Casablanca,ISTIRAHA PALOMA,‎ 14.71 DH,ROUTE COTIERE CASA MOHAMMEDIA AIN HARROUDA
Casablanca,OUM ERRABII,‎ 14.9 DH,BOULEVARD OUM ERRABII - QUARTIER OULFA
Casablanca,NOUZA,‎ 14.68 DH,"QUARTIER INDUSTRIEL , MUNICIPALITÉ DE MEDIOUNA"
Casablanca,PETROFAN S/S HAY HASSANI,‎ 14.83 DH,ANGLE BD BOUTALEB ET RUE 8 -ANFA-CASABLANCA
Casablanca,STATION PETROM CHANANE,‎ 14.82 DH,LISSASFA ROUTE D'EL JADIDA
Casablanca,SIDI MAAROUF,‎ 14.77 DH,"ZONE INDUSTRIELLE BOUSKOURA, SIDI MAAROUF"
Casablanca,ROUTE EL JADIDA,‎ 14.29 DH,QUARTIER INDUSTRIEL SIDI MAÂROUF
Casablanca,S/S IKHLASS II,‎ 14.83 DH,DIYAR EL MENZEH -LYSSASFA
Casablanca,FABIDIS S/S AL OMRAN,‎ 14.81 DH,LOT Z.I.SUD-OUEST PHASE 2 N° 57 -MOHAMMEDIA
Casablanca,OULFA,‎ 14.73 DH,"EL ALIA 3, QUARTIER OULFA - AIN CHOK - HAY HASSANI-CASA"
Casablanca,SIDI MOUSSA,‎ 14.3 DH,RP 106 PK 25+000 SIDI MOUSSA BEN ALI
Casablanca,WINXO OULFA,‎ 14.79 DH,AVENUE SID AL KHADIR OULFA
Casablanca,OUED MELLAH,‎ 14.78 DH,ROUTE COTIÈRE CASA MOHAMMEDIA
Casablanca,S/S AL ARSA AIRE  DE SERVICE,‎ 14.83 DH,PK 28+450 DE LA ROUTE NATIONALE N° 9
Casablanca,WINXO SAMIR,‎ 14.8 DH,ROUTE D'EL JADIDA LISSASFA
Casablanca,SOFIA,‎ 14.8 DH,BOUSKOURA
Casablanca,BOUSKOURA 2,‎ 11.96 DH,ROUTE DE BOUSKOURA
