"city","station_name","supercarburant sans plomb","gasoil10_price","station_location"
"Casablanca","2001 CASA SS","‎ 14.46 DH","‎ 13.96 DH","ROUTE PRINCIPALE N°1 AVENUE '' C'' SIDI BERNOUSSI "
"Casablanca","S/S  KARAM","‎ 14.83 DH","‎ 14.59 DH","BD MOULAY SLIMAN"
"Casablanca","TELEVISION SS","‎ 14.55 DH","‎ 13.88 DH","KM 6,7  ROUTE DE MARRAKECH"
"Casablanca","TELEVISION","‎ 14.8 DH","‎ 13.97 DH","BD MOHAMED VI -, CASABLANCA"
"Casablanca","NASSIB","‎ 14.8 DH","‎ 13.97 DH","ANGLE RUE PLANQUETTE ET BD BA HMAD, CASABLANCA"
"Casablanca","ZI TIT MELLIL","‎ 14.85 DH","‎ 13.97 DH","ZI TIT MELLIL, TITT MELLILEN"
"Casablanca","DERB SULTAN","‎ 14.29 DH","‎ 13.62 DH","ROUTE MEDIOUNA  DERB SULTAN"
"Casablanca","STATION IBN TACHFINE","‎ 14.29 DH","‎ 13.62 DH","RUE SERGENT HITLAIRE QUARTIER AIN BORJA ROCHES NOIRES"
"Casablanca","JET STATION SERVICE","‎ 14.62 DH","‎ 14.63 DH","BD CHEFCHAOUNI, SIDI BERNOUSSI"
"Casablanca","SPORT","‎ 14.8 DH","‎ 13.97 DH","294, ROUTE DES OULAD ZIANE HAY MANJRA -, CASABLANCA"
"Casablanca","WINXO MAROC CARBURANT","‎ 14.79 DH","‎ 13.95 DH","KM 5 RTE MEDIOUNA"
"Casablanca","WINXO MOULAY ISMAIL","‎ 14.83 DH","‎ 13.92 DH","BD MOULAY ISMAIL"
"Casablanca","OULED HRIZ","‎ 14.8 DH","‎ 13.97 DH","886, BD MOHAMED VI, CASABLANCA"
"Casablanca","OULED HRIZ","‎ 14.3 DH","‎ 13.97 DH","886, BD MOHAMED VI, CASABLANCA"
"Casablanca","GARAGE DU PHARE","‎ 14.8 DH","‎ 13.97 DH","82, AVENUE AMBASSADEUR BEN ACHA, CASABLANCA"
"Casablanca","BOULHAUT SS","‎ 14.57 DH","‎ 14.86 DH","BD IBN TACHFIN ET RUE D'IFNI"
"Casablanca","ROCHES NOIRES","‎ 14.8 DH","‎ 13.97 DH","AVENUE AMBASSADEUR BEN AICHA"
"Casablanca","AL FIDA","‎ 14.29 DH","‎ 13.62 DH","BOULEVARD MOHAMED V"
"Casablanca","ROND POINT AICHA EMILE ZOLA CASA","‎ 14.29 DH","‎ 13.62 DH","382 BD EMILE ZOLA CASABLANCA"
"Casablanca","SOKHOUR","‎ 14.8 DH","‎ 13.97 DH","100, AVENUE AMBASSADEUR BEN AICHA, CASABLANCA"
"Casablanca","STATION TIT MELLIL","‎ 14.8 DH","‎ 13.95 DH","43 AVENUE D SIDI OTHMANE TIT MELLIL"
"Casablanca","YAKOUT LAKSSIBA","‎ 14.29 DH","‎ 13.62 DH","ROUTE DE MEDIOUNA CASALANCA"
"Casablanca","FELLAH","‎ 14.8 DH","‎ 13.97 DH","125,RUE DES SOISSONS -, CASABLANCA"
"Casablanca","MARCHE DE GROS SS","‎ 14.57 DH","‎ 14.69 DH","AV ABDELLAH BEN YASSINE"
"Casablanca","KOREA SS","‎ 14.29 DH","‎ 13.88 DH","84, PLACE SRAGHNA"
"Casablanca","WINXO BLAYE","‎ 14.78 DH","‎ 13.89 DH","RUE BLAYE ET BD OULED ZIANE"
"Casablanca","SLIMANE","‎ 14.8 DH","‎ 13.97 DH","68, BD IBN TACHFINE, CASABLANCA"
"Casablanca","STATION PETROM ORILIS","‎ 14.78 DH","‎ 13.98 DH","SIDI EL BERNOUSSI , ANGLE R 322 ET BOUELVARD EL BINA "
"Casablanca","WINXO BUZANCY","‎ 14.78 DH","‎ 13.89 DH","ANGLE BD PASTEUR ET RUE BUZANCY"
"Casablanca","ALBERT 1ER","‎ 14.8 DH","‎ 13.97 DH","BOULEVARD MOHAMMED V, CASABLANCA"
"Casablanca","MAMOUNIA","‎ 14.87 DH","‎ 14.02 DH","PLACE HMIDOU OUATANI"
"Casablanca","S/S SENATOR IMMOBILIER","‎ 14.83 DH","‎ 13.97 DH","296,BOULEVARD EL FIDA, CASABLANCA"
"Casablanca","AL AMAL","‎ 14.89 DH","‎ 13.96 DH","SM76 OPERATION AL BADR SIDI MOUMEN CASABLANCA"
"Casablanca","ISTIRAHA LA GIRONDE","‎ 14.83 DH","‎ 13.89 DH","MUNICIPALITÉ TIT MELLIL PROVINCE DE MEDIOUNA ROUTE N°9"
"Casablanca","ESSALAM","‎ 14.72 DH","‎ 13.97 DH","ANGLE RUE CAPITAINE PUISSESSEAU  BD LA GIRONDE "
"Casablanca","ASRIA","‎ 14.8 DH","‎ 13.97 DH","128, BD MOHAMED VI, CASABLANCA"
"Casablanca","BIADA  CASABLANCA","‎ 14.29 DH","‎ 13.62 DH","BD MOHAMED VI RUE OMAR EL IDRISSI"
"Casablanca","LYON SS","‎ 14.79 DH","‎ 14.97 DH","1, RUE BACHIR AL IBRAHIMI"
"Casablanca","PASTEUR","‎ 14.8 DH","‎ 13.97 DH","AVENUE PASTEUR, CASABLANCA"
"Casablanca","TIHAD","‎ 14.8 DH","‎ 13.97 DH","82, BD MOHAMED VI-, CASABLANCA"
"Casablanca","MIRABEAU","‎ 14.8 DH","‎ 13.97 DH","AVENUE PASTEUR, CASABLANCA"
"Casablanca","CENTRE CASA SS","‎ 14.79 DH","‎ 14.97 DH","PLACE DAKAR"
"Casablanca","STATION ZIZ OULED HADDOU","‎ 14.79 DH","‎ 13.89 DH","302, BD MOHAMED V"
"Casablanca","STATION PETROM 2 MARS","‎ 14.82 DH","‎ 13.99 DH","BD PANORAMIQUE ET BD 2 MARS"
"Casablanca","AIN MAAZI","‎ 14.8 DH","‎ 13.97 DH","28, BOULEVARD LA RESISTANCE"
"Casablanca","EL FIDA","‎ 14.8 DH","‎ 13.97 DH","ANGLE AVENUE 2 MARS EL FIDA, CASABLANCA"
"Casablanca","02-MARS","‎ 14.8 DH","‎ 13.97 DH","AVENUE 2 MARS -, CASABLANCA"
"Casablanca","WINXO BD MLY DRISS","‎ 14.8 DH","‎ 13.99 DH","ANG AV MY IDRISS 1ER "
"Casablanca","AL MADINA","‎ 14.85 DH","‎ 13.99 DH","ANGLE BOULEVARD MY DRISS 1ER ET RUE ABDESLAM EL KHATTABI"
"Casablanca","LA RESISTANCE","‎ 14.29 DH","‎ 13.67 DH","BOULEVARD 2 MARS HAY INARA AIN CHOK"
"Casablanca","WINXO AVENUE 2 MARS","‎ 14.78 DH","‎ 13.89 DH","ANGLES AVENUE , 2 MARS ET RUE LAMARTINE"
"Casablanca","WINXO LES ALLIES","‎ 14.78 DH","‎ 13.89 DH","PLACE DE LA VICTOIRE"
"Casablanca","STATION JAWHARA","‎ 14.29 DH","‎ 13.63 DH","QUARTIER DERB OMAR RESIDENCE JAWHARA"
"Casablanca","HERMITAGE","‎ 14.8 DH","‎ 13.67 DH","BOULEVARD PANORAMIQUE ET BOULEVARD NADOR L'HERMITAGE CASABLANCA"
"Casablanca","RIAD","‎ 14.34 DH","‎ 13.97 DH","AVENUE 2 MARS, CASABLANCA"
"Casablanca","PETROFAM S/S PANORAMIQUE","‎ 14.8 DH","‎ 13.96 DH","ANGLE BD PANORAMIQUE  & BD OULED HADDOU ARRONDISSEMENT AIN CHOCK CASABLANCA"
"Casablanca","STATION ZIZ 2 MARS","‎ 14.83 DH","‎ 13.89 DH","STATION ZIZ, AVENUE 2 MARS CASABLANCA"
"Casablanca","SIDI HAJAJ","‎ 16.74 DH","‎ 14.55 DH","RP 3024 DOUAR OULED BOUAZIZ COMMUNE RURALE SIDI HAJJAJ OUED HASSAR   PROVINCE MEDIOUNA"
"Casablanca","LYCEE SS","‎ 14.49 DH","‎ 14.61 DH","ANGLE AV 2 MARS ET TARIK IBNOU ZIAD"
"Casablanca","WINXO VESALE","‎ 14.8 DH","‎ 13.93 DH","RUE VESALE ET 2 MARS"
"Casablanca","PETROFAN S/S ZOUBEIR","‎ 14.83 DH","‎ 13.96 DH","BOULEVARD MODI BOKITA"
"Casablanca","EL MANZAH SS","‎ 14.71 DH","‎ 14.87 DH","PK 8,35  COMMUNE RURAL EL MAJJATIA"
"Casablanca","AIN HARROUDA","‎ 14.8 DH","‎ 13.97 DH","ROUTE DE CASA   -, MOHAMMEDIA"
"Casablanca","AIN HARROUDA","‎ 14.8 DH","‎ 13.62 DH","RN 1 MUNICIPALITÉ DE AIN HARROUDA PRÉFECTURE DE MOHAMMEDIA    "
